date,rank_score
2021-08-03,1606819
2021-08-10,762139
2021-08-10,8119616
2021-08-12,5352549
2021-08-18,705382
2021-08-29,1568260
2021-08-31,4200925
2021-09-02,1591277
2021-09-04,3666873
2021-09-05,2923700
2021-09-06,1951709
2021-09-11,2836910
2021-09-20,718613
2021-09-20,429077
2021-09-20,1045647
2021-09-25,1461116
2021-10-06,2041254
2021-10-13,2227641
2021-10-23,4165070
2021-10-23,1132115
2021-10-27,796776
2021-11-03,689657
2021-11-06,738296
2021-11-10,633100
2021-11-13,1690418
2021-11-14,2123860
2021-11-15,2782234
2021-11-23,2864830
2021-11-24,4876793
2021-11-27,1622723
2021-12-01,1719159
2021-12-13,1001260
2021-12-22,4605554
2021-12-29,1451095
2021-12-31,1639005
2022-01-10,1044678
2022-01-13,3130338
2022-01-16,879255
2022-01-16,2000922
2022-01-17,2393964
2022-01-19,2361597
2022-01-20,2675233
2022-01-22,1585145
2022-01-27,501479
2022-02-05,1378164
2022-02-07,1303605
2022-02-08,1065237
2022-02-11,878228
2022-02-17,726069
2022-02-19,1673346
2022-02-20,3481245
2022-02-22,1686475
2022-02-23,1594227
2022-03-02,608923
2022-03-02,853179
2022-03-03,2936267
2022-03-11,1822422
2022-03-13,1536128
2022-03-19,2445631
2022-03-20,3345950
2022-03-21,1460613
2022-03-22,3161111
2022-03-23,11221697
2022-03-24,5786868
2022-03-25,3010781
2022-03-26,1285104
2022-04-05,1626225
2022-04-05,2014419
2022-04-05,1664276
2022-04-05,1087881
2022-04-09,2149998
2022-04-09,620601
2022-04-10,1096781
2022-04-10,1250788
2022-04-12,4633919
2022-04-13,4553968
2022-04-13,2439193
2022-04-13,1705558
2022-04-14,2490846
2022-04-14,2604037
2022-04-14,3693778
2022-04-16,1958387
2022-04-16,3582488
2022-04-17,1038017
2022-04-22,3732490
2022-04-23,2710305
2022-04-23,601312
2022-04-24,1513610
2022-04-26,2469326
2022-04-27,805520
2022-04-29,5305155
2022-04-29,2178299
2022-04-30,871251
2022-04-30,821963
2022-05-03,3148070
2022-05-05,1535432
2022-05-05,1622612
2022-05-06,2248846
2022-05-06,1871468
2022-05-06,605288
2022-05-06,3766811
2022-05-06,2463856
2022-05-07,1488274
2022-05-07,1902660
2022-05-07,2159843
2022-05-08,5539643
2022-05-09,1205083
2022-05-10,6442119
2022-05-10,608203
2022-05-12,2106299
2022-05-12,1216649
2022-05-14,1441920
2022-05-15,4397891
2022-05-15,727737
2022-05-16,1508465
2022-05-16,3917215
2022-05-17,1816992
2022-05-17,4904044
2022-05-17,1754386
2022-05-18,2015841
2022-05-18,662395
2022-05-19,2118490
2022-05-19,2023190
2022-05-20,17553622
2022-05-22,890790
2022-05-22,1547874
2022-05-23,850534
2022-05-23,1018200
2022-05-24,2028698
2022-05-24,8856587
2022-05-24,1149006
2022-05-25,1735317
2022-05-25,4272111
2022-05-26,1634062
2022-05-27,972972
