pubdate,title,danmaku,arcurl,aid
2019-08-16,【大事件】坤坤问鼎流量王座？坤伦之战一触即发 暴走大事件第六季 30,82233,http://www.bilibili.com/video/av63987224,63987224
2019-08-19,-1,6737,-1,-1
2019-08-21,-1,21262,-1,-1
2019-08-23,-1,12280,-1,-1
2019-08-24,-1,6183,-1,-1
2019-08-24,-1,6982,-1,-1
2019-08-25,-1,14275,-1,-1
2019-08-25,-1,10139,-1,-1
2019-08-26,【全明星】芒种,83003,http://www.bilibili.com/video/av65408651,65408651
2019-08-28,【蔡徐坤】芒种,105440,http://www.bilibili.com/video/av65790846,65790846
2019-09-01,-1,14662,-1,-1
2019-09-01,-1,3707,-1,-1
2019-09-02,-1,5746,-1,-1
2019-09-03,-1,15847,-1,-1
2019-09-05,-1,14529,-1,-1
2019-09-10,-1,21201,-1,-1
2019-09-12,-1,9641,-1,-1
2019-09-13,【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,34655,http://www.bilibili.com/video/av67530671,67530671
2019-09-14,-1,3388,-1,-1
2019-09-16,-1,4017,-1,-1
2019-09-17,-1,51,-1,-1
2019-09-18,-1,19103,-1,-1
2019-09-19,-1,15476,-1,-1
2019-09-20,-1,4030,-1,-1
2019-09-22,-1,8525,-1,-1
2019-09-23,-1,3890,-1,-1
2019-09-30,-1,7809,-1,-1
2019-09-30,-1,17516,-1,-1
2019-10-04,对不起蔡徐坤，我们欠你一个道歉,168834,http://www.bilibili.com/video/av70040823,70040823
2019-10-04,【搞笑丧尸片】鲲山行（Chapter 1：启程）卢本伟&amp;孙笑川领衔主演,27516,http://www.bilibili.com/video/av69992729,69992729
2019-10-08,-1,2366,-1,-1
2019-10-10,-1,2629,-1,-1
2019-10-12,-1,12573,-1,-1
2019-10-13,当靠脸吃饭的明星越来越多，这是时代的悲哀,23851,http://www.bilibili.com/video/av71071148,71071148
2019-10-23,-1,4861,-1,-1
2019-10-23,蔡徐坤与资本的博弈，首个为蔡徐坤正逻辑的视频，【资本与明星02集】,52062,http://www.bilibili.com/video/av73151051,73151051
2019-10-26,-1,15778,-1,-1
2019-10-28,-1,8326,-1,-1
2019-10-31,-1,3004,-1,-1
2019-11-11,-1,0,-1,-1
2019-11-14,-1,4544,-1,-1
2019-11-14,-1,3781,-1,-1
2019-11-15,-1,4027,-1,-1
2019-11-15,-1,20290,-1,-1
2019-11-15,-1,10024,-1,-1
2019-11-15,-1,11,-1,-1
2019-11-17,-1,2821,-1,-1
2019-11-23,爆笑吐槽究极沙雕小说《蔡徐坤与乔碧萝》,32707,http://www.bilibili.com/video/av76634525,76634525
2019-11-28,-1,2948,-1,-1
2019-12-03,-1,1642,-1,-1
2019-12-03,-1,202,-1,-1
2019-12-07,-1,8850,-1,-1
2019-12-07,-1,191,-1,-1
2019-12-07,【苏卡不列】2019 诸 神 之 战,26773,http://www.bilibili.com/video/av78367567,78367567
2019-12-08,-1,2396,-1,-1
2019-12-08,-1,652,-1,-1
2019-12-13,学校领导：???     晚会你给我整这个？,31479,http://www.bilibili.com/video/av79069869,79069869
2019-12-14,-1,5712,-1,-1
2019-12-15,-1,4995,-1,-1
2019-12-15,-1,4293,-1,-1
2019-12-17,-1,5038,-1,-1
2019-12-19,-1,8615,-1,-1
2019-12-21,-1,4062,-1,-1
2019-12-24,-1,9669,-1,-1
2019-12-26,-1,8736,-1,-1
2019-12-27,-1,11273,-1,-1
2019-12-27,-1,16230,-1,-1
2019-12-27,-1,4350,-1,-1
2019-12-29,-1,1545,-1,-1
2019-12-31,-1,3732,-1,-1
2020-01-01,-1,6202,-1,-1
2020-01-01,-1,1888,-1,-1
2020-01-06,-1,4024,-1,-1
2020-01-06,-1,5461,-1,-1
2020-01-07,-1,2699,-1,-1
2020-01-09,-1,6386,-1,-1
2020-01-12,-1,19001,-1,-1
2020-01-16,-1,4248,-1,-1
2020-01-16,-1,21634,-1,-1
2020-01-17,-1,2353,-1,-1
2020-01-17,-1,2789,-1,-1
2020-01-19,-1,7304,-1,-1
2020-01-22,-1,5683,-1,-1
2020-01-23,-1,21919,-1,-1
2020-01-24,-1,3043,-1,-1
2020-01-25,-1,6977,-1,-1
2020-01-28,-1,4288,-1,-1
2020-01-28,-1,12115,-1,-1
2020-01-30,-1,658,-1,-1
2020-02-02,【蔡徐坤】仙剑鸡侠传,112880,http://www.bilibili.com/video/av86208216,86208216
2020-02-02,-1,2600,-1,-1
2020-02-07,-1,15430,-1,-1
2020-02-09,-1,13539,-1,-1
2020-02-11,-1,7170,-1,-1
2020-02-12,-1,6995,-1,-1
2020-02-13,-1,3891,-1,-1
2020-02-14,-1,15007,-1,-1
2020-02-16,-1,13523,-1,-1
2020-02-18,-1,283,-1,-1
2020-02-19,【蔡徐坤】曹操,31890,http://www.bilibili.com/video/av89997471,89997471
2020-02-22,-1,14023,-1,-1
2020-02-23,-1,300,-1,-1
2020-02-24,-1,4750,-1,-1
2020-02-25,-1,5992,-1,-1
2020-02-26,-1,2652,-1,-1
2020-02-26,-1,3831,-1,-1
2020-02-26,诸  神  黄  昏！前方有毒！慎点！,36981,http://www.bilibili.com/video/av91821826,91821826
2020-02-29,-1,19917,-1,-1
2020-03-04,-1,10212,-1,-1
2020-03-05,肖战粉不服？我们坤坤教你做人,24681,http://www.bilibili.com/video/av93630839,93630839
2020-03-08,-1,2786,-1,-1
2020-03-10,【鬼畜电影】狒球崛起,56387,http://www.bilibili.com/video/av95018009,95018009
2020-03-12,-1,10367,-1,-1
2020-03-12,【冰雪奇缘】步 入 迷 惑,29239,http://www.bilibili.com/video/av95581364,95581364
2020-03-13,-1,8896,-1,-1
2020-03-16,-1,9806,-1,-1
2020-03-17,当蔡徐坤学会自黑！爆笑吐槽比律师函好用100倍的《青春有你2》【开心嘴炮】,31624,http://www.bilibili.com/video/av97035393,97035393
2020-03-17,-1,17568,-1,-1
2020-03-20,-1,6291,-1,-1
2020-03-23,虞书欣恐成最大赢家？爆笑吐槽剧情直逼偶像剧的《青春有你2》（第2期）【开心嘴炮】,47418,http://www.bilibili.com/video/av98681615,98681615
2020-03-24,-1,1212,-1,-1
2020-03-25,-1,5374,-1,-1
2020-03-26,建议改成：中 美 日 合 拍,87134,http://www.bilibili.com/video/av99477298,99477298
2020-03-28,【老邪吐槽】崩溃级RAP！逆天吐槽全员诗朗诵的《青春有你2》,41647,http://www.bilibili.com/video/av200051703,200051703
2020-03-30,-1,14365,-1,-1
2020-03-30,-1,19722,-1,-1
2020-03-31,-1,244,-1,-1
2020-03-31,-1,1502,-1,-1
2020-03-31,【老邪吐槽】全员人设崩塌！逆天吐槽现形记之《青春有你2》,23701,http://www.bilibili.com/video/av327569914,327569914
2020-04-08,【盘点】那些被营销号用烂的音乐,62020,http://www.bilibili.com/video/av455139254,455139254
2020-04-09,-1,1657,-1,-1
2020-04-12,-1,10428,-1,-1
2020-04-17,-1,8079,-1,-1
2020-04-18,-1,4818,-1,-1
2020-04-19,-1,7634,-1,-1
2020-04-20,-1,1581,-1,-1
2020-04-23,-1,9098,-1,-1
2020-04-30,-1,8872,-1,-1
2020-04-30,-1,19054,-1,-1
2020-05-01,-1,395,-1,-1
2020-05-02,-1,4185,-1,-1
2020-05-04,-1,2841,-1,-1
2020-05-10,-1,291,-1,-1
2020-05-14,-1,9207,-1,-1
2020-05-20,-1,4319,-1,-1
2020-05-20,-1,3015,-1,-1
2020-05-23,-1,1971,-1,-1
2020-05-26,-1,3405,-1,-1
2020-05-27,-1,4577,-1,-1
2020-06-01,【水月婚礼】【高甜】【大橘已定】两个女孩子的婚礼,33181,http://www.bilibili.com/video/av328421230,328421230
2020-06-03,失望！三观扭曲还浑然不知的【跑男】终于知道为什么越来越烂,57887,http://www.bilibili.com/video/av883419653,883419653
2020-06-08,用100包老坛酸菜牛肉面里的酸菜煮酸菜鱼是什么体验？那酸爽不敢相信。,30537,http://www.bilibili.com/video/av795897477,795897477
2020-06-11,-1,618,-1,-1
2020-06-17,-1,3165,-1,-1
2020-06-24,-1,963,-1,-1
2020-07-02,-1,625,-1,-1
2020-07-15,-1,2605,-1,-1
2020-07-29,-1,20948,-1,-1
2020-08-04,-1,1431,-1,-1
2020-08-07,-1,2876,-1,-1
2020-08-14,-1,2581,-1,-1
2020-08-24,【鬼畜大电影】决战鬼畜岛（45分钟完整版）,24297,http://www.bilibili.com/video/av841754985,841754985
2020-09-13,-1,541,-1,-1
2020-09-20,-1,2204,-1,-1
2020-09-20,-1,5316,-1,-1
2020-10-01,【搞笑丧尸片】鲲山行（70分钟完整版） 卢本伟&amp;茄子&amp;周淑怡 等领衔主演,120864,http://www.bilibili.com/video/av927372302,927372302
2020-10-17,-1,997,-1,-1
2020-10-18,-1,1581,-1,-1
2020-10-23,-1,194,-1,-1
2020-11-08,-1,7848,-1,-1
2020-11-13,-1,527,-1,-1
2020-11-15,-1,133,-1,-1
2020-11-30,-1,6426,-1,-1
2020-12-06,-1,7959,-1,-1
2020-12-07,大家最讨厌的明星 【比较排名】,27155,http://www.bilibili.com/video/av628108232,628108232
2020-12-09,-1,1558,-1,-1
2020-12-15,-1,5254,-1,-1
2020-12-19,-1,7302,-1,-1
2020-12-24,-1,9364,-1,-1
2021-01-05,-1,2807,-1,-1
2021-01-05,-1,60,-1,-1
2021-01-15,-1,1157,-1,-1
2021-01-22,-1,302,-1,-1
2021-01-25,-1,1938,-1,-1
2021-01-27,-1,1485,-1,-1
2021-01-28,-1,14176,-1,-1
2021-01-30,-1,21156,-1,-1
2021-01-30,-1,2789,-1,-1
2021-02-01,-1,4197,-1,-1
2021-02-02,-1,3888,-1,-1
2021-02-06,-1,4732,-1,-1
2021-02-09,-1,7022,-1,-1
2021-02-12,-1,4509,-1,-1
2021-02-15,-1,89,-1,-1
2021-02-16,-1,6864,-1,-1
2021-02-17,-1,444,-1,-1
2021-02-21,-1,19925,-1,-1
2021-02-23,4K超清 严浩翔 贺峻霖 Cover《星球坠落》+《屋顶着火》等系列合作 持续更新中,24453,http://www.bilibili.com/video/av629257183,629257183
2021-02-27,-1,1089,-1,-1
2021-03-02,-1,2475,-1,-1
2021-03-09,-1,2463,-1,-1
2021-03-10,-1,3325,-1,-1
2021-03-12,-1,2243,-1,-1
2021-03-19,-1,11369,-1,-1
2021-03-24,-1,5939,-1,-1
2021-03-26,-1,149,-1,-1
2021-03-30,-1,22943,-1,-1
2021-04-06,-1,450,-1,-1
