pubdate,title,duration,arcurl,aid
2020-02-02,-1,2.33,-1,-1
2020-02-02,-1,1.2,-1,-1
2020-02-07,-1,1.83,-1,-1
2020-02-09,-1,1.63,-1,-1
2020-02-11,-1,4.67,-1,-1
2020-02-12,-1,0.53,-1,-1
2020-02-13,-1,1.78,-1,-1
2020-02-14,-1,1.02,-1,-1
2020-02-16,-1,2.17,-1,-1
2020-02-18,-1,0.23,-1,-1
2020-02-19,-1,2.08,-1,-1
2020-02-22,-1,3.67,-1,-1
2020-02-23,-1,7.93,-1,-1
2020-02-24,-1,1.98,-1,-1
2020-02-25,-1,2.15,-1,-1
2020-02-26,-1,3.1,-1,-1
2020-02-26,-1,2.57,-1,-1
2020-02-26,-1,0.92,-1,-1
2020-02-29,-1,1.38,-1,-1
2020-03-04,-1,2.67,-1,-1
2020-03-05,-1,1.67,-1,-1
2020-03-08,-1,0.35,-1,-1
2020-03-10,【鬼畜电影】狒球崛起,44.83,http://www.bilibili.com/video/av95018009,95018009
2020-03-12,-1,5.73,-1,-1
2020-03-12,-1,1.27,-1,-1
2020-03-13,-1,2.73,-1,-1
2020-03-16,-1,3.52,-1,-1
2020-03-17,-1,7.93,-1,-1
2020-03-17,-1,2.98,-1,-1
2020-03-20,-1,8.0,-1,-1
2020-03-23,-1,9.05,-1,-1
2020-03-24,-1,0.73,-1,-1
2020-03-25,-1,4.1,-1,-1
2020-03-26,-1,2.95,-1,-1
2020-03-28,-1,7.22,-1,-1
2020-03-30,-1,2.7,-1,-1
2020-03-30,-1,1.5,-1,-1
2020-03-31,-1,6.07,-1,-1
2020-03-31,-1,0.97,-1,-1
2020-03-31,-1,0.18,-1,-1
2020-04-08,-1,7.95,-1,-1
2020-04-09,-1,2.28,-1,-1
2020-04-12,-1,0.45,-1,-1
2020-04-17,-1,2.95,-1,-1
2020-04-18,-1,1.15,-1,-1
2020-04-19,-1,1.97,-1,-1
2020-04-20,-1,0.47,-1,-1
2020-04-23,-1,4.07,-1,-1
2020-04-30,-1,9.42,-1,-1
2020-04-30,-1,2.43,-1,-1
2020-05-01,-1,0.73,-1,-1
2020-05-02,-1,3.28,-1,-1
2020-05-04,-1,1.37,-1,-1
2020-05-10,-1,1.95,-1,-1
2020-05-14,-1,1.55,-1,-1
2020-05-20,-1,2.68,-1,-1
2020-05-20,-1,2.3,-1,-1
2020-05-23,-1,0.5,-1,-1
2020-05-26,-1,4.77,-1,-1
2020-05-27,-1,3.55,-1,-1
2020-06-01,-1,3.2,-1,-1
2020-06-03,-1,9.95,-1,-1
2020-06-08,-1,4.85,-1,-1
2020-06-11,-1,1.43,-1,-1
2020-06-17,-1,1.85,-1,-1
2020-06-24,-1,3.1,-1,-1
2020-07-02,-1,2.6,-1,-1
2020-07-15,-1,1.33,-1,-1
2020-07-29,鬼畜区up人均代打？自己填的词也能忘？【鬼畜高手01】,14.78,http://www.bilibili.com/video/av244098775,244098775
2020-08-04,-1,0.57,-1,-1
